S.No,Image Filename,Code Source,Generic Name,Regal,Excellence,VARN,RC,SNALCO,All Available Codes
1,"MA-01.png",Regal,"Big Rail Nut",MA 01,EX 25,-,-,-,"MA 01 | EX 25"
2,"MA-07.png",Regal,"80mm Mini Rail",MA 07,-,-,-,-,"MA 07"
3,"MA-09.png",Regal,"Standing Seam Clamp - Part B (Type 1)",MA 09,-,-,-,-,"MA 09"
4,"MA-10.png",Regal,"Standing Seam Clamp - Part A (Type 1)",MA 10,-,-,-,-,"MA 10"
5,"MA-11C.png",Regal,"150mm Walkway Section",MA 11C,-,-,-,-,"MA 11C"
6,"MA-12.png",Regal,"25mm Base Rail",MA 12,EX 30,-,-,-,"MA 12 | EX 30"
7,"MA-16.png",Regal,"Mid Clamp - 25mm Module Gap",MA 16,-,-,-,-,"MA 16"
8,"MA-17.png",Regal,"35mm End Clamp (Type 1)",MA 17,-,SR 01,-,-,"MA 17 | SR 01"
9,"MA-23.png",Regal,"100mm Short Rail (In)",MA 23,-,-,-,-,"MA 23"
10,"MA-24.png",Regal,"40mm End Clamp (Type 1)",MA 24,-,-,-,-,"MA 24"
11,"MA-25A.png",Regal,"V Rail (Type 2)",MA 25A,EX 37,-,-,-,"MA 25A | EX 37"
12,"MA-26.png",Regal,"Standing Seam H Clamp (Type 1)",MA 26,-,-,-,-,"MA 26"
13,"MA-27.png",Regal,"65mm Short Rail (In)_V2",MA 27,-,SR 04,SU 04,-,"MA 27 | SR 04 | SU 04"
14,"MA-28.png",Regal,"21mm Strut Channel",MA 28,-,-,-,-,"MA 28"
15,"MA-29.png",Regal,"Small Rail Nut",MA 29,EX 20,-,-,-,"MA 29 | EX 20"
16,"MA-30.png",Regal,"Purlin Clamp",MA 30,-,-,-,-,"MA 30"
17,"MA-31.png",Regal,"75mm Short Rail (In)_V2",MA 31,-,-,-,-,"MA 31"
18,"MA-34.png",Regal,"41mm Strut Channel",MA 34,EX 58,SR 10,SR 01 (RC,-,"MA 34 | EX 58 | SR 10 | SR 01 (RC"
19,"MA-35.png",Regal,"Mid Clamp - 21mm Module Gap",MA 35,EX 55,SR 02,-,-,"MA 35 | EX 55 | SR 02 | RL 49703"
20,"MA-36.png",Regal,"9mm Circular Tube",MA 36,-,-,-,-,"MA 36"
21,"MA-38.png",Regal,"Standing Seam H Clamp (Type 2)",MA 38,EX 52,-,-,-,"MA 38 | EX 52"
22,"MA-39.png",Regal,"75/25mm - 90 -  Mini Rail",MA 39,EX 19,-,-,-,"MA 39 | EX 19"
23,"MA-40.png",Regal,"70/27mm - 69 - Mini Rail",MA 40,EX 31,SR 07,SU 01,-,"MA 40 | EX 31 | SR 07 | SU 01"
24,"MA-41.png",Regal,"75/36mm - 90 - Mini Rail",MA 41,EX 22,-,-,-,"MA 41 | EX 22"
25,"MA-42.png",Regal,"30mm End Clamp",MA 42,-,-,-,-,"MA 42"
26,"MA-43.png",Regal,"40mm Long Rail",MA 43,EX 03,SR 14,SU 08,-,"MA 43 | EX 03 | SR 14 | SU 08 | RL 49702 | SD 4328"
27,"MA-44.png",Regal,"Inner U Cleat",MA 44,EX 15,-,-,-,"MA 44 | EX 15"
28,"MA-46.png",Regal,"Hook Rail Nut",MA 46,EX 23,-,-,-,"MA 46 | EX 23"
29,"MA-47.png",Regal,"Mid Clamp (M+)",MA 47,-,-,-,-,"MA 47"
30,"MA-48.png",Regal,"Proflex - Standing Seam Clamp - Part A",MA 48,-,-,-,-,"MA 48"
31,"MA-49.png",Regal,"Proflex - Standing Seam Clamp - Part B",MA 49,-,-,-,-,"MA 49"
32,"MA-50.png",Regal,"65mm Short Rail (Ex)",MA 50,EX 07,SR 05,SU 07,-,"MA 50 | EX 07 | SR 05 | SU 07"
33,"MA-51.png",Regal,"100mm Short Rail (Ex)",MA 51,EX 32,SR 06,SU 06,-,"MA 51 | EX 32 | SR 06 | SU 06 | SD 4330"
34,"MA-52.png",Regal,"Asbestos Curved Base",MA 52,EX 67,-,-,-,"MA 52 | EX 67"
35,"MA-54.png",Regal,"89mm L Cleat",MA 54,EX 21,-,-,-,"MA 54 | EX 21"
36,"MA-55.png",Regal,"L Type Long Rail_V2",MA 55,-,SR 08,SU 05,-,"MA 55 | SR 08 | SU 05"
37,"MA-56.png",Regal,"70mm Short Rail (In)",MA 56,-,-,-,-,"MA 56"
38,"MA-57.png",Regal,"Standing Seam Walkway Clamp 1",MA 57,EX 16,-,-,-,"MA 57 | EX 16"
39,"MA-58.png",Regal,"Standing Seam Clamp - Part A (Type 2)",MA 58,-,-,-,-,"MA 58"
40,"MA-59.png",Regal,"Standing Seam Clamp - Part B (Type 2)",MA 59,-,-,-,-,"MA 59"
41,"MA-60.png",Regal,"FRP Walkway M Clamp",MA 60,-,-,-,-,"MA 60"
42,"MA-63.png",Regal,"Standing Seam Clamp (Type 3) (2x)",MA 63,-,-,-,-,"MA 63"
43,"MA-64.png",Regal,"Kalzip Clamp - Part B",MA 64,EX 34,-,-,-,"MA 64 | EX 34"
44,"MA-65.png",Regal,"Kalzip Clamp - Part A",MA 65,EX 33,-,-,-,"MA 65 | EX 33"
45,"MA-68.png",Regal,"Hat Base",MA 68,-,-,-,-,"MA 68"
46,"MA-69.png",Regal,"Rectangle Column",MA 69,EX 62,-,-,-,"MA 69 | EX 62"
47,"MA-72.png",Regal,"External Long Rail Jointer",MA 72,EX 24,-,-,-,"MA 72 | EX 24 | RL 49705"
48,"MA-73.png",Regal,"Round Tube Bracket",MA 73,EX 68,-,-,-,"MA 73 | EX 68"
49,"MA-74.png",Regal,"Hand Rail Tube",MA 74,EX 63,-,-,-,"MA 74 | EX 63"
50,"MA-75.png",Regal,"FRP Walkway M Clamp_V2",MA 75,EX 28,-,-,-,"MA 75 | EX 28"
51,"MA-76.png",Regal,"L Type Long Rail_V3",MA 76,EX 09,-,-,-,"MA 76 | EX 09"
52,"MA-77.png",Regal,"Standing Seam Clamp - Part B (Type 4)",MA 77,-,-,-,-,"MA 77"
53,"MA-81.png",Regal,"75mm Standing Seam Clamp - External",MA 81,-,-,-,-,"MA 81"
54,"MA-82.png",Regal,"65/17mm - 74 - Mini Rail (Ex)",MA 82,-,-,-,-,"MA 82"
55,"LA25x25.png",Regal,"L Angle - 25x25mm",LA25x25,EX 64,-,-,-,"LA25x25 | EX 64"
56,"SR-03.png",VARN,"35mm End Clamp (Type 2)",-,-,SR 03,SU 12,-,"SR 03 | SU 12"
57,"MA-107.png",Regal,"L Angle - 45x35mm",MA 107,EX 61,SR 09,SU 03,-,"MA 107 | EX 61 | SR 09 | SU 03"
58,"SR-11.png",VARN,"70/42mm Mini Rail",-,-,SR 11,SU 14,-,"SR 11 | SU 14"
59,"EX-60.png",Excellence,"Round Tube Jointer",-,EX 60,SR 12,-,-,"EX 60 | SR 12"
60,"EX-54.png",Excellence,"40mm End Clamp (Type 2)",-,EX 54,SR 13,SU 11,-,"EX 54 | SR 13 | SU 11"
61,"SU-02.png",RC,"35mm End Clamp (M+)",-,-,-,SU 02,-,"SU 02"
62,"DR-1.png",Darshan,"175mm Walkway Section (2x)",-,-,-,-,-,"DR 1"
63,"DR-2.png",Darshan,"Ballast Tray Clamp",-,-,-,-,-,"DR 2 | RL 49706"
64,"SN-5303.png",SNALCO,"97/36mm - 90 - Mini Rail (Ex)",-,-,-,-,SN 5303,"SN 5303"
65,"SR-16.png",VARN,"33mm End Clamp",-,-,SR 16,SU 13,-,"SR 16 | SU 13"
66,"MA-84.png",Regal,"FRP C Clamp",MA 84,EX 29,-,-,-,"MA 84 | EX 29"
67,"MA-85.png",Regal,"Kliplock 700 Clamp - Part B",MA 85,EX 49,-,-,-,"MA 85 | EX 49"
68,"MA-86.png",Regal,"Kliplock 700 Clamp - Part A",MA 86,EX 65,-,-,-,"MA 86 | EX 65"
69,"MA-87.png",Regal,"Whistle Clamp",MA 87,-,-,-,-,"MA 87"
70,"EX-01.png",Excellence,"CNT - Front Leg",-,EX 01,-,-,-,"EX 01"
71,"EX-02.png",Excellence,"CNT - Back Leg",-,EX 02,-,-,-,"EX 02"
72,"MA-112.png",Regal,"Mid Clamp (T4)",MA 112,EX 04,-,-,-,"MA 112 | EX 04"
73,"MA-111.png",Regal,"35mm End Clamp (T4)",MA 111,EX 05,-,-,-,"MA 111 | EX 05"
74,"MA-108.png",Regal,"80mm Short Rail(Ex)",MA 108,EX 06,-,-,-,"MA 108 | EX 06"
75,"MA-89.png",Regal,"Kalzip Flat Top Clamp",MA 89,EX 35,-,-,-,"MA 89 | EX 35"
76,"MA-90.png",Regal,"L Type Long Rail - 60mm",MA 90,-,-,-,-,"MA 90"
77,"MA-91.png",Regal,"Outer U Cleat - 82mm",MA 91,EX 13,-,-,-,"MA 91 | EX 13"
78,"MA-92.png",Regal,"Tata Short Rail",MA 92,-,-,-,-,"MA 92"
79,"MA-93.png",Regal,"Tata Universal Module Clamp",MA 93,-,-,-,-,"MA 93"
80,"MA-94.png",Regal,"Tata Rail Nut",MA 94,-,-,-,-,"MA 94"
81,"MA-95.png",Regal,"Multilock Seam Clamp - Part B",MA 95,EX 47,-,-,-,"MA 95 | EX 47"
82,"MA-97.png",Regal,"Multilock Seam Clamp - Part A",MA 97,-,-,-,-,"MA 97"
83,"MA-98.png",Regal,"L Type Long Rail Jointert_V2",MA 98,EX 46,-,-,-,"MA 98 | EX 46"
84,"MA-99.png",Regal,"Standing Seam Clamp - 100mm",MA 99,EX 57,-,-,-,"MA 99 | EX 57"
85,"MA-100.png",Regal,"External Long Rail_60mm",MA 100,-,-,SU 19,-,"MA 100 | SU 19 | RL 49707"
86,"MA-102.png",Regal,"External 60mm Long Rail Jointer",MA 102,-,-,-,-,"MA 102"
87,"EX-08.png",Excellence,"CNT - Face Leg",-,EX 08,-,-,-,"EX 08"
88,"EX-10.png",Excellence,"98/27 - 75 - Mini Rail (Ex)",-,EX 10,-,SU 18,-,"EX 10 | SU 18"
89,"EX-11.png",Excellence,"98/27 - 69 - Mini Rail (Ex)",-,EX 11,-,SU 17,-,"EX 11 | SU 17"
90,"EX-12.png",Excellence,"98/29 - 73 - Mini Rail (Ex)",-,EX 12,-,SU 18,-,"EX 12 | SU 18"
91,"EX-17.png",Excellence,"Emmvee Long Rail",-,EX 17,-,-,-,"EX 17"
92,"EX-18.png",Excellence,"Araymond Strut Rail - 73mm",-,EX 18,-,-,-,"EX 18"
93,"EX-26.png",Excellence,"100mm Short Rail (AR)",-,EX 26,-,-,-,"EX 26 | RL 49701"
94,"SN-5306.png",SNALCO,"UX Long Rail - Large U Base",-,-,-,-,SN 5306,"SN 5306"
95,"MA-103.png",Regal,"25mm Base Rail W/O Flange",MA 103,-,-,SU 20,-,"MA 103 | SU 20"
96,"MA-104.png",Regal,"Multilok Flat Top Seam Clamp - Part A",MA 104,-,-,-,-,"MA 104"
97,"MA-105.png",Regal,"H Bracket_V2",MA 105,EX 38,-,-,-,"MA 105 | EX 38"
98,"MA-106.png",Regal,"Kliplock 700 Flat Top Clamp - Part A",MA 106,EX 50,-,-,-,"MA 106 | EX 50"
99,"MA-109.png",Regal,"30mm End Clamp_V2",MA 109,EX 53,-,-,-,"MA 109 | EX 53"
100,"MA-110.png",Regal,"Unified U Cleat",MA 110,EX 39,-,SU 16,-,"MA 110 | EX 39 | SU 16 | SD 4329"
