========================================================================================================================
SUNRACK PROFILE IMAGE FILENAME MAPPING
========================================================================================================================

Use this guide to name your profile images. Save images with the exact filename shown.
Example: For MA-43, save the image as "MA-43.png"

========================================================================================================================

S.No  | Image Filename           | Source      | Generic Name
------------------------------------------------------------------------------------------------------------------------
1     | MA-01.png                | Regal       | Big Rail Nut
2     | MA-07.png                | Regal       | 80mm Mini Rail
3     | MA-09.png                | Regal       | Standing Seam Clamp - Part B (Type 1)
4     | MA-10.png                | Regal       | Standing Seam Clamp - Part A (Type 1)
5     | MA-11C.png               | Regal       | 150mm Walkway Section
6     | MA-12.png                | Regal       | 25mm Base Rail
7     | MA-16.png                | Regal       | Mid Clamp - 25mm Module Gap
8     | MA-17.png                | Regal       | 35mm End Clamp (Type 1)
9     | MA-23.png                | Regal       | 100mm Short Rail (In)
10    | MA-24.png                | Regal       | 40mm End Clamp (Type 1)
11    | MA-25A.png               | Regal       | V Rail (Type 2)
12    | MA-26.png                | Regal       | Standing Seam H Clamp (Type 1)
13    | MA-27.png                | Regal       | 65mm Short Rail (In)_V2
14    | MA-28.png                | Regal       | 21mm Strut Channel
15    | MA-29.png                | Regal       | Small Rail Nut
16    | MA-30.png                | Regal       | Purlin Clamp
17    | MA-31.png                | Regal       | 75mm Short Rail (In)_V2
18    | MA-34.png                | Regal       | 41mm Strut Channel
19    | MA-35.png                | Regal       | Mid Clamp - 21mm Module Gap
20    | MA-36.png                | Regal       | 9mm Circular Tube
21    | MA-38.png                | Regal       | Standing Seam H Clamp (Type 2)
22    | MA-39.png                | Regal       | 75/25mm - 90 -  Mini Rail
23    | MA-40.png                | Regal       | 70/27mm - 69 - Mini Rail
24    | MA-41.png                | Regal       | 75/36mm - 90 - Mini Rail
25    | MA-42.png                | Regal       | 30mm End Clamp
26    | MA-43.png                | Regal       | 40mm Long Rail
27    | MA-44.png                | Regal       | Inner U Cleat
28    | MA-46.png                | Regal       | Hook Rail Nut
29    | MA-47.png                | Regal       | Mid Clamp (M+)
30    | MA-48.png                | Regal       | Proflex - Standing Seam Clamp - Part A
31    | MA-49.png                | Regal       | Proflex - Standing Seam Clamp - Part B
32    | MA-50.png                | Regal       | 65mm Short Rail (Ex)
33    | MA-51.png                | Regal       | 100mm Short Rail (Ex)
34    | MA-52.png                | Regal       | Asbestos Curved Base
35    | MA-54.png                | Regal       | 89mm L Cleat
36    | MA-55.png                | Regal       | L Type Long Rail_V2
37    | MA-56.png                | Regal       | 70mm Short Rail (In)
38    | MA-57.png                | Regal       | Standing Seam Walkway Clamp 1
39    | MA-58.png                | Regal       | Standing Seam Clamp - Part A (Type 2)
40    | MA-59.png                | Regal       | Standing Seam Clamp - Part B (Type 2)
41    | MA-60.png                | Regal       | FRP Walkway M Clamp
42    | MA-63.png                | Regal       | Standing Seam Clamp (Type 3) (2x)
43    | MA-64.png                | Regal       | Kalzip Clamp - Part B
44    | MA-65.png                | Regal       | Kalzip Clamp - Part A
45    | MA-68.png                | Regal       | Hat Base
46    | MA-69.png                | Regal       | Rectangle Column
47    | MA-72.png                | Regal       | External Long Rail Jointer
48    | MA-73.png                | Regal       | Round Tube Bracket
49    | MA-74.png                | Regal       | Hand Rail Tube
50    | MA-75.png                | Regal       | FRP Walkway M Clamp_V2
51    | MA-76.png                | Regal       | L Type Long Rail_V3
52    | MA-77.png                | Regal       | Standing Seam Clamp - Part B (Type 4)
53    | MA-81.png                | Regal       | 75mm Standing Seam Clamp - External
54    | MA-82.png                | Regal       | 65/17mm - 74 - Mini Rail (Ex)
55    | LA25x25.png              | Regal       | L Angle - 25x25mm
56    | SR-03.png                | VARN        | 35mm End Clamp (Type 2)
57    | MA-107.png               | Regal       | L Angle - 45x35mm
58    | SR-11.png                | VARN        | 70/42mm Mini Rail
59    | EX-60.png                | Excellence  | Round Tube Jointer
60    | EX-54.png                | Excellence  | 40mm End Clamp (Type 2)
